NAME,POS,GP,AB,R,H,AVG,2B,3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
Teoscar HernandezLAD,LF,139,531,75,142,0.267,29,2,28,87,259,47,167,11,0.333,0.488,0.821,3.5
Carlos CorreaMIN,SS,75,279,51,86,0.308,16,2,13,47,145,30,53,0,0.377,0.52,0.896,3.3
Steven KwanCLE,LF,120,475,81,138,0.291,16,3,13,43,199,51,50,12,0.364,0.419,0.783,3.3
Brandon MarshPHI,LF,122,380,51,96,0.253,15,3,14,52,159,46,141,16,0.333,0.418,0.751,3.3
Yainer DiazHOU,C,134,525,64,158,0.301,25,3,16,81,237,22,91,2,0.327,0.451,0.778,3.3
Isiah Kiner-FalefaPIT/TOR,3B,119,404,51,109,0.27,13,4,8,42,154,16,66,9,0.313,0.381,0.694,3.3
Alex BregmanHOU,3B,132,531,72,136,0.256,28,2,22,65,234,39,77,3,0.312,0.441,0.753,3.3
Byron BuxtonMIN,CF,90,305,54,84,0.275,23,3,16,49,161,18,89,6,0.334,0.528,0.862,3.3
Anthony VolpeNYY,SS,146,590,86,147,0.249,27,7,11,55,221,37,143,26,0.297,0.375,0.671,3.3
Will SmithLAD,C,116,436,66,107,0.245,24,1,18,70,187,46,101,0,0.324,0.429,0.753,3.2
Jeremy PenaHOU,SS,143,551,72,147,0.267,23,2,15,68,219,22,102,16,0.306,0.397,0.704,3.2
Julio RodriguezSEA,CF,128,497,62,128,0.258,14,0,14,49,184,36,138,22,0.315,0.37,0.685,3.2
Adley RutschmanBAL,C,134,519,62,132,0.254,18,1,18,74,206,53,92,1,0.322,0.397,0.719,3.2
CJ AbramsWSH,SS,134,527,77,126,0.239,27,6,20,65,225,39,125,29,0.308,0.427,0.735,3.2
Ezequiel TovarCOL,SS,142,590,76,157,0.266,43,3,22,66,272,20,179,6,0.291,0.461,0.752,3.1
Jacob YoungWSH,CF,135,426,73,109,0.256,23,1,3,34,143,27,92,32,0.315,0.336,0.651,3.1
Jurickson ProfarSD,LF,144,513,83,143,0.279,26,0,22,82,235,71,92,9,0.381,0.458,0.839,3.1
Joc PedersonARI,DH,118,330,59,93,0.282,16,1,22,61,177,54,95,6,0.404,0.536,0.941,3.1
Willy AdamesMIL,SS,146,554,85,139,0.251,29,0,30,102,258,68,155,18,0.332,0.466,0.798,3.1
Tyler FitzgeraldSF,SS,84,270,49,80,0.296,17,2,14,31,143,19,87,17,0.35,0.53,0.88,3.1
Seiya SuzukiCHC,RF,119,464,69,127,0.274,24,6,20,66,223,52,145,14,0.352,0.481,0.832,3.1
Anthony SantanderBAL,RF,141,541,85,131,0.242,23,2,41,95,281,52,119,2,0.314,0.519,0.833,3
Geraldo PerdomoARI,SS,82,285,52,80,0.281,18,1,3,31,109,28,49,8,0.346,0.382,0.728,3
Willson ContrerasSTL,C,84,301,48,79,0.262,17,0,15,36,141,45,96,4,0.38,0.468,0.848,3
Eugenio SuarezARI,3B,142,508,84,130,0.256,28,2,28,92,246,47,151,2,0.324,0.484,0.808,3
Dansby SwansonCHC,SS,135,475,70,111,0.234,22,2,14,58,179,49,132,16,0.306,0.377,0.683,3
Tyler O'NeillBOS,LF,102,375,71,97,0.259,18,0,30,59,205,49,144,4,0.35,0.547,0.897,3
Michael BuschCHC,1B,137,453,68,113,0.249,27,2,17,56,195,58,149,2,0.335,0.43,0.766,2.9
Wilyer AbreuBOS,RF,117,355,55,94,0.265,31,2,15,55,174,34,114,8,0.328,0.49,0.818,2.9
Salvador PerezKC,C,144,532,56,148,0.278,27,0,26,101,253,41,119,0,0.339,0.476,0.815,2.9
Luke RaleySEA,LF,124,366,53,87,0.238,17,2,19,52,165,26,123,10,0.315,0.451,0.765,2.9
Mark VientosNYM,3B,96,352,50,97,0.276,20,0,24,62,189,30,109,0,0.335,0.537,0.872,2.9
Ceddanne RafaelaBOS,SS,141,506,68,127,0.251,21,5,15,70,203,15,140,17,0.279,0.401,0.68,2.8
J.T. RealmutoPHI,C,86,334,44,89,0.266,15,1,12,40,142,24,86,2,0.322,0.425,0.747,2.8
Matt OlsonATL,1B,146,545,70,129,0.237,33,1,25,81,239,58,156,0,0.317,0.439,0.755,2.8
Trea TurnerPHI,SS,105,439,79,131,0.298,22,0,18,55,207,26,85,15,0.344,0.472,0.815,2.8
Austin WellsNYY,C,103,313,39,79,0.252,16,1,13,50,136,41,76,1,0.34,0.435,0.774,2.8
Lawrence ButlerOAK,RF,112,361,56,97,0.269,23,2,21,54,187,30,90,14,0.322,0.518,0.84,2.8
Austin RileyATL,3B,110,425,63,109,0.256,26,2,19,56,196,37,118,0,0.322,0.461,0.783,2.8
Freddy FerminKC,C,101,312,39,89,0.285,14,0,6,36,121,22,61,1,0.333,0.388,0.721,2.8
Nico HoernerCHC,2B,136,524,76,137,0.261,31,1,5,42,185,41,64,28,0.328,0.353,0.681,2.7
Bryson StottPHI,2B,135,461,60,113,0.245,18,2,11,54,168,50,83,29,0.317,0.364,0.682,2.7
Corbin CarrollARI,CF,142,534,108,123,0.23,21,13,19,67,227,61,115,27,0.316,0.425,0.741,2.7
David HamiltonBOS,SS,98,294,47,73,0.248,17,1,8,28,116,22,80,33,0.303,0.395,0.697,2.7
Ryan McMahonCOL,3B,139,514,62,127,0.247,25,0,19,61,209,65,165,4,0.333,0.407,0.74,2.7
