NAME,POS,GP,GS,QS,ERA,W,L,SV,HLD,IP,H,ER,HR,BB,K,K/9,WHIP,WAR
Nick AndersonKC,RP,37,0,0,4.04,3,1,1,2,35.2,35,16,6,15,29,7.3,1.4,0.3
Pedro AvilaSD/CLE,RP,51,0,0,4.04,6,1,1,0,78,69,35,8,33,79,9.1,1.31,0.3
Edwin DiazNYM,RP,47,0,0,3.6,5,3,18,2,45,29,18,7,16,68,13.6,1,0.3
Genesis CabreraTOR,RP,62,0,0,3.05,3,2,2,12,56,52,19,8,28,45,7.2,1.43,0.3
Matthew LiberatoreSTL,RP,52,6,1,4.64,3,3,0,4,77.2,69,40,9,26,68,7.9,1.22,0.3
Kris BubicKC,RP,21,0,0,3.42,0,1,0,6,23.2,23,9,2,4,29,11,1.14,0.3
Walter PenningtonTEX/KC,RP,13,1,0,2.03,1,0,0,0,13.1,13,3,1,10,12,8.1,1.73,0.3
Erik SabrowskiCLE,RP,4,0,0,0,0,0,0,0,6,3,0,0,1,8,12,0.67,0.3
Wandy PeraltaSD,RP,44,0,0,4.17,2,2,0,11,36.2,33,17,6,12,22,5.4,1.23,0.3
Troy TaylorSEA,RP,14,0,0,2.13,0,0,0,4,12.2,7,3,3,3,13,9.2,0.79,0.3
Yilber DiazARI,SP,4,4,2,4.05,1,1,0,0,20,18,9,2,8,14,6.3,1.3,0.3
Matt FosterCHW,RP,6,1,0,2.7,0,1,0,1,6.2,5,2,1,5,4,5.4,1.5,0.3
Kyle MullerOAK,RP,18,0,0,4.22,0,1,0,0,42.2,45,20,6,9,35,7.4,1.27,0.3
Jose FerrerWSH,RP,23,0,0,3.74,0,0,0,5,21.2,21,9,0,6,19,7.9,1.25,0.3
Fraser EllardCHW,RP,16,0,0,2.93,2,2,0,1,15.1,10,5,1,7,19,11.2,1.11,0.3
Anthony VenezianoMIA/KC,RP,6,0,0,2.16,0,0,0,0,8.1,8,2,0,2,10,10.8,1.2,0.3
Seth HalvorsenCOL,RP,6,0,0,0,1,0,0,2,5.2,2,0,0,0,5,7.9,0.35,0.3
Kyle TylerMIA,SP,8,7,0,5.4,0,2,0,0,31.2,37,19,4,18,25,7.1,1.74,0.2
Scott BarlowCLE,RP,63,0,0,4.25,3,3,2,19,55,44,26,6,31,68,11.1,1.36,0.2
Alek JacobSD,RP,6,0,0,2.84,0,0,0,0,12.2,7,4,1,2,18,12.8,0.71,0.2
J.T. GinnOAK,SP,5,3,1,4.58,0,1,0,0,19.2,17,10,3,6,20,9.2,1.17,0.2
Mason MontgomeryTB,RP,4,0,0,0,0,0,0,1,4,0,0,0,4,6,13.5,1,0.2
Ryan ZeferjahnLAA,RP,5,0,0,1.93,0,0,0,0,9.1,3,2,0,3,11,10.6,0.64,0.2
Kyle LeahySTL,RP,31,0,0,4.02,1,1,1,3,47,38,21,4,10,32,6.1,1.02,0.2
Jose HernandezPIT,RP,7,0,0,3.38,1,1,1,1,5.1,5,2,1,4,4,6.8,1.69,0.2
Lance LynnSTL,SP,22,22,6,3.96,6,4,0,0,111.1,109,49,15,42,104,8.4,1.36,0.2
Michael SorokaCHW,RP,22,9,1,5.23,0,10,0,1,72.1,64,42,13,42,71,8.8,1.47,0.2
Tim HillCHW/NYY,RP,56,0,0,3.6,4,0,0,2,60,74,24,2,16,27,4.1,1.5,0.2
Braxton GarrettMIA,SP,7,7,2,5.35,2,2,0,0,37,40,22,5,4,34,8.3,1.19,0.2
Ian HamiltonNYY,RP,29,0,0,4.18,0,1,0,9,32.1,33,15,1,14,34,9.5,1.45,0.2
Tayler SaucedoSEA,RP,48,0,0,3.75,2,0,3,5,36,34,15,3,18,35,8.8,1.44,0.2
